,title,link,year,rating,runtime_mins,genres,votes,metascore,gross,synopsis
575,A Night at the Opera,https://www.imdb.com//title/tt0026778/,1935,7.9,96,"['Comedy', 'Music', 'Musical']",31088,,$2.54M,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.
576,King Kong,https://www.imdb.com//title/tt0024216/,1933,7.9,100,"['Adventure', 'Horror', 'Sci-Fi']",80797,90.0,$10.00M,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.
577,Freaks,https://www.imdb.com//title/tt0022913/,1932,7.9,64,"['Drama', 'Horror']",42845,80.0,,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
578,Nosferatu,https://www.imdb.com//title/tt0013442/,1922,7.9,94,"['Fantasy', 'Horror']",90328,,,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
579,The Gentlemen,https://www.imdb.com//title/tt8367814/,2019,7.8,113,"['Action', 'Comedy', 'Crime']",268156,,,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
580,A Quiet Place Part II,https://www.imdb.com//title/tt8332922/,2020,7.8,97,"['Drama', 'Horror', 'Sci-Fi']",38270,71.0,,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path."
581,The Mitchells vs the Machines,https://www.imdb.com//title/tt7979580/,2021,7.8,113,"['Animation', 'Adventure', 'Comedy']",59979,80.0,,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope."
582,Raazi,https://www.imdb.com//title/tt7098658/,2018,7.8,138,"['Action', 'Drama', 'Thriller']",26603,,,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.
583,Sound of Metal,https://www.imdb.com//title/tt5363618/,2019,7.8,120,"['Drama', 'Music']",93248,82.0,,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.
584,The Salesman,https://www.imdb.com//title/tt5186714/,2016,7.8,124,['Drama'],53361,85.0,$2.40M,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections."
